day,norad_id,name,shell,period_min,inclination,delta_period,delta_inc
2026-03-29,68248,STARLINK-36997,53,91.3,53.16,0.0600052,0
2026-03-29,67855,STARLINK-36838,53,92.55,53.16,0.0600052,0
2026-03-29,67873,STARLINK-36783,53,92.65,53.16,0.0600052,0
2026-03-29,67873,STARLINK-36783,53,92.73,53.16,0.0600052,0
2026-03-29,67870,STARLINK-36770,53,92.95,53.16,0.0599976,0
2026-03-29,67864,STARLINK-36831,53,92.68,53.16,0.0599976,0
2026-03-29,67876,STARLINK-36743,53,92.93,53.16,0.0599976,0
2026-03-29,67855,STARLINK-36838,53,92.39,53.17,0.0599976,0.00999832
2026-03-29,46533,STARLINK-1648,53,88.75,53.03,-0.0599976,0
2026-03-29,67875,STARLINK-36727,53,92.5,53.16,0.0599976,0
2026-03-29,67874,STARLINK-36730,53,92.74,53.16,0.0599976,0
2026-03-29,67874,STARLINK-36730,53,92.57,53.16,0.0599976,0
2026-03-29,67854,STARLINK-36608,53,92.5,53.16,0.0599976,0
2026-03-29,67853,STARLINK-36785,53,92.54,53.16,0.0599976,-0.00999832
2026-03-29,67867,STARLINK-36761,53,92.52,53.16,0.0599976,0
2026-03-29,67865,STARLINK-36738,53,92.59,53.16,0.0599976,0
2026-03-29,67872,STARLINK-36786,53,92.67,53.16,0.0599976,0
2026-03-29,67865,STARLINK-36738,53,92.67,53.16,0.0599976,0
2026-03-29,48022,STARLINK-2298,53,93.39,53.13,-0.0599976,0
2026-03-29,67866,STARLINK-36780,53,92.71,53.16,0.0599976,0
2026-03-29,68251,STARLINK-36274,53,91.17,53.16,0.0599976,0
2026-03-29,67860,STARLINK-35873,53,92.86,53.16,0.0599976,0
2026-03-29,67869,STARLINK-36779,53,92.68,53.16,0.0599976,0
2026-03-29,67871,STARLINK-36769,53,92.53,53.16,0.0599976,0
2026-03-29,67871,STARLINK-36769,53,92.61,53.16,0.0599976,0
2026-03-29,67869,STARLINK-36779,53,92.6,53.16,0.0599976,0
2026-03-29,67861,STARLINK-36325,53,92.75,53.16,0.0599976,0
2026-03-29,67857,STARLINK-36828,53,92.43,53.16,0.0599976,0
2026-03-29,67862,STARLINK-36332,53,92.72,53.16,0.0599976,0
2026-03-29,67857,STARLINK-36828,53,92.35,53.16,0.0599976,0
2026-03-29,67872,STARLINK-36786,53,92.59,53.16,0.0599976,0
2026-03-29,67855,STARLINK-36838,53,92.47,53.16,0.0599976,0
2026-03-29,68042,STARLINK-36925,53,91.42,53.16,0.0599976,0
2026-03-29,67866,STARLINK-36780,53,92.54,53.16,0.0599976,0
2026-03-29,67868,STARLINK-36762,53,92.59,53.16,0.0599976,0
2026-03-29,68071,STARLINK-36970,53,91.36,53.16,-0.0599976,0
2026-03-29,67863,STARLINK-36835,53,92.7,53.16,0.0599976,0
2026-03-29,67863,STARLINK-36835,53,92.78,53.16,0.0599976,0
2026-03-29,67864,STARLINK-36831,53,92.6,53.16,0.0599976,0
2026-03-29,67878,STARLINK-36689,53,92.84,53.16,0.0599976,0
2026-03-29,67854,STARLINK-36608,53,92.42,53.16,0.0599976,0
2026-03-29,68042,STARLINK-36925,53,91.36,53.16,-0.0500031,0
2026-03-29,68278,STARLINK-36982,53,90.22,53.16,0.0500031,0
2026-03-29,48674,STARLINK-2712,53,94.2,53.15,-0.0500031,0
2026-03-29,65414,STARLINK-34411,53,89.71,53.13,-0.0500031,0
2026-03-29,46344,STARLINK-1765,53,89.64,53.03,-0.0500031,0
2026-03-29,61537,STARLINK-11331 [DTC],53,89.94,53.15,-0.0400009,0.0100021
2026-03-29,48676,STARLINK-2746,53,94.31,53.15,-0.0299988,0.0100021
2026-03-29,48584,STARLINK-2238,53,92.91,53.05,-0.0299988,-0.0100021
2026-03-29,46117,STARLINK-1585,53,90.11,53.03,-0.0299988,-0.0100021
2026-03-29,44736,STARLINK-1031,53,89.79,53.04,-0.0199966,0.0100021
2026-03-29,53789,STARLINK-4666,53,95.43,53.22,-0.0100021,0.0100021
2026-03-29,53789,STARLINK-4666,53,95.44,53.21,0.0100021,-0.0100021
2026-03-29,47736,STARLINK-2147,53,94.42,53.07,-0.0100021,-0.0100021
2026-03-29,48594,STARLINK-2251,53,94.31,53.15,-0.0100021,0.0100021
2026-03-29,48603,STARLINK-2714,53,94.29,53.15,-0.0100021,0.0100021
2026-03-29,53908,STARLINK-5057,53,95.44,53.22,0,0.0100021
2026-03-29,46073,STARLINK-1542,53,95.59,53.06,0,0.0100021
2026-03-29,46073,STARLINK-1542,53,95.59,53.05,0,-0.0100021
2026-03-29,46079,STARLINK-1566,53,95.59,53.05,0,-0.0100021
2026-03-29,53856,STARLINK-4795,53,95.44,53.22,0,0.0100021
2026-03-29,53898,STARLINK-5044,53,95.44,53.21,0,-0.0100021
2026-03-29,53898,STARLINK-5044,53,95.44,53.22,0,0.0100021
2026-03-29,53902,STARLINK-5021,53,95.44,53.21,0,-0.0100021
2026-03-29,53843,STARLINK-4769,53,95.44,53.21,0,-0.0100021
2026-03-29,53843,STARLINK-4769,53,95.44,53.22,0,0.0100021
2026-03-29,53843,STARLINK-4769,53,95.44,53.21,0,-0.0100021
2026-03-29,53841,STARLINK-4750,53,95.44,53.22,0,0.0100021
2026-03-29,53841,STARLINK-4750,53,95.44,53.21,0,-0.0100021
2026-03-29,53902,STARLINK-5021,53,95.44,53.22,0,0.0100021
2026-03-29,53906,STARLINK-5054,53,95.44,53.22,0,0.0100021
2026-03-29,53840,STARLINK-4766,53,95.44,53.22,0,0.0100021
2026-03-29,53840,STARLINK-4766,53,95.44,53.21,0,-0.0100021
2026-03-29,51150,STARLINK-3357,53,95.44,53.21,0,-0.0100021
2026-03-29,53968,STARLINK-4629,53,95.44,53.22,0,0.0100021
2026-03-29,53998,STARLINK-5128,53,95.44,53.22,0,0.0100021
2026-03-29,47358,STARLINK-2055,53,95.59,53.05,0,-0.0100021
2026-03-29,47358,STARLINK-2055,53,95.59,53.06,0,0.0100021
2026-03-29,47358,STARLINK-2055,53,95.59,53.05,0,-0.0100021
2026-03-29,53998,STARLINK-5128,53,95.44,53.21,0,-0.0100021
2026-03-29,53998,STARLINK-5128,53,95.44,53.22,0,0.0100021
2026-03-29,47377,STARLINK-2097,53,95.28,53.07,0,-0.0100021
2026-03-29,54095,STARLINK-5193,53,95.44,53.22,0,0.0100021
2026-03-29,53787,STARLINK-4743,53,95.44,53.22,0,0.0100021
2026-03-29,53750,STARLINK-4612,53,95.44,53.22,0,0.0100021
2026-03-29,54188,STARLINK-5238,53,95.44,53.21,0,-0.0100021
2026-03-29,54188,STARLINK-5238,53,95.44,53.22,0,0.0100021
2026-03-29,54206,STARLINK-5264,53,95.44,53.21,0,-0.0100021
2026-03-29,53736,STARLINK-4652,53,95.44,53.22,0,0.0100021
2026-03-29,47385,STARLINK-2105,53,95.59,53.05,0,-0.0100021
2026-03-29,54206,STARLINK-5264,53,95.44,53.22,0,0.0100021
2026-03-29,53722,STARLINK-4700,53,95.44,53.22,0,0.0100021
2026-03-29,53722,STARLINK-4700,53,95.44,53.21,0,-0.0100021
2026-03-29,47401,STARLINK-2123,53,95.59,53.06,0,0.0100021
2026-03-29,47401,STARLINK-2123,53,95.59,53.05,0,-0.0100021
2026-03-29,47401,STARLINK-2123,53,95.59,53.06,0,0.0100021
2026-03-29,53631,STARLINK-4599,53,95.44,53.21,0,-0.0100021
2026-03-29,53622,STARLINK-4568,53,95.44,53.22,0,0.0100021
2026-03-29,53622,STARLINK-4568,53,95.44,53.21,0,-0.0100021
2026-03-29,53598,STARLINK-4676,53,95.44,53.21,0,-0.0100021
2026-03-29,47789,STARLINK-2315,53,95.59,53.06,0,0.0100021
2026-03-29,47792,STARLINK-2334,53,95.59,53.06,0,0.0100021
2026-03-29,47792,STARLINK-2334,53,95.59,53.05,0,-0.0100021
2026-03-29,47798,STARLINK-2379,53,95.59,53.06,0,0.0100021
2026-03-29,47800,STARLINK-2381,53,95.59,53.05,0,-0.0100021
2026-03-29,47805,STARLINK-2386,53,95.59,53.06,0,0.0100021
2026-03-29,47805,STARLINK-2386,53,95.59,53.05,0,-0.0100021
2026-03-29,47816,STARLINK-2399,53,95.59,53.05,0,-0.0100021
2026-03-29,47831,STARLINK-2420,53,95.59,53.06,0,0.0100021
2026-03-29,47837,STARLINK-2427,53,95.59,53.06,0,0.0100021
2026-03-29,47841,STARLINK-2433,53,95.59,53.06,0,0.0100021
2026-03-29,47841,STARLINK-2433,53,95.59,53.05,0,-0.0100021
2026-03-29,47845,STARLINK-2453,53,95.59,53.05,0,-0.0100021
2026-03-29,48306,STARLINK-2523,53,95.59,53.05,0,-0.0100021
2026-03-29,48315,STARLINK-2506,53,95.59,53.06,0,0.0100021
2026-03-29,48412,STARLINK-2581,53,95.59,53.05,0,-0.0100021
2026-03-29,48412,STARLINK-2581,53,95.59,53.06,0,0.0100021
2026-03-29,48570,STARLINK-2220,53,95.59,53.06,0,0.0100021
2026-03-29,48570,STARLINK-2220,53,95.59,53.05,0,-0.0100021
2026-03-29,48572,STARLINK-2222,53,95.59,53.06,0,0.0100021
2026-03-29,48583,STARLINK-2237,53,95.59,53.06,0,0.0100021
2026-03-29,48583,STARLINK-2237,53,95.59,53.05,0,-0.0100021
2026-03-29,48583,STARLINK-2237,53,95.59,53.06,0,0.0100021
2026-03-29,48586,STARLINK-2241,53,95.59,53.05,0,-0.0100021
2026-03-29,48586,STARLINK-2241,53,95.59,53.06,0,0.0100021
2026-03-29,52641,STARLINK-3991,53,95.44,53.22,0,0.0100021
2026-03-29,52640,STARLINK-3977,53,95.44,53.22,0,0.0100021
2026-03-29,52640,STARLINK-3977,53,95.44,53.21,0,-0.0100021
2026-03-29,52636,STARLINK-3967,53,95.44,53.22,0,0.0100021
2026-03-29,52636,STARLINK-3967,53,95.44,53.21,0,-0.0100021
2026-03-29,52634,STARLINK-3974,53,95.44,53.22,0,0.0100021
2026-03-29,49420,STARLINK-3110,53,95.44,53.22,0,0.0100021
2026-03-29,49420,STARLINK-3110,53,95.44,53.21,0,-0.0100021
2026-03-29,52611,STARLINK-3980,53,95.44,53.22,0,0.0100021
2026-03-29,52611,STARLINK-3980,53,95.44,53.21,0,-0.0100021
2026-03-29,49442,STARLINK-3098,53,95.44,53.21,0,-0.0100021
2026-03-29,52605,STARLINK-4000,53,95.44,53.22,0,0.0100021
2026-03-29,52605,STARLINK-4000,53,95.44,53.21,0,-0.0100021
2026-03-29,52598,STARLINK-4019,53,95.44,53.22,0,0.0100021
2026-03-29,52598,STARLINK-4019,53,95.44,53.21,0,-0.0100021
2026-03-29,52451,STARLINK-3870,53,94.08,53.22,0,0.0100021
2026-03-29,51974,STARLINK-3672,53,95.59,53.06,0,0.0100021
2026-03-29,51973,STARLINK-3679,53,95.59,53.05,0,-0.0100021
2026-03-29,51973,STARLINK-3679,53,95.59,53.06,0,0.0100021
2026-03-29,51815,STARLINK-3604,53,95.44,53.22,0,0.0100021
2026-03-29,51815,STARLINK-3604,53,95.44,53.21,0,-0.0100021
2026-03-29,51814,STARLINK-3599,53,95.44,53.22,0,0.0100021
2026-03-29,51814,STARLINK-3599,53,95.44,53.21,0,-0.0100021
2026-03-29,51812,STARLINK-3610,53,95.44,53.22,0,0.0100021
2026-03-29,50174,STARLINK-3292,53,95.44,53.22,0,0.0100021
2026-03-29,51758,STARLINK-3458,53,95.44,53.22,0,0.0100021
2026-03-29,51752,STARLINK-3511,53,95.44,53.22,0,0.0100021
2026-03-29,51752,STARLINK-3511,53,95.44,53.21,0,-0.0100021
2026-03-29,51750,STARLINK-3505,53,95.44,53.21,0,-0.0100021
2026-03-29,53856,STARLINK-4795,53,95.44,53.21,0,-0.0100021
2026-03-29,51736,STARLINK-3447,53,95.44,53.22,0,0.0100021
2026-03-29,51736,STARLINK-3447,53,95.44,53.21,0,-0.0100021
2026-03-29,51729,STARLINK-3523,53,95.44,53.21,0,-0.0100021
2026-03-29,51468,STARLINK-3174,53,95.44,53.21,0,-0.0100021
2026-03-29,51468,STARLINK-3174,53,95.44,53.22,0,0.0100021
2026-03-29,51152,STARLINK-3364,53,95.44,53.21,0,-0.0100021
2026-03-29,51152,STARLINK-3364,53,95.44,53.22,0,0.0100021
2026-03-29,51152,STARLINK-3364,53,95.44,53.21,0,-0.0100021
2026-03-29,51150,STARLINK-3357,53,95.44,53.22,0,0.0100021
2026-03-29,51148,STARLINK-3359,53,95.37,53.21,0,-0.0100021
2026-03-29,51148,STARLINK-3359,53,95.37,53.22,0,0.0100021
2026-03-29,63885,STARLINK-33858,70,95.99,70,-0.150002,0
2026-03-29,56795,STARLINK-6061,70,95.98,70,-0.129997,0
2026-03-29,56807,STARLINK-6073,70,96.24,70,0.129997,0
2026-03-29,64418,STARLINK-34461,70,96.11,70,0.129997,0
2026-03-29,64418,STARLINK-34461,70,95.98,70,-0.129997,0
2026-03-29,64696,STARLINK-34497,70,95.98,70,-0.129997,0
2026-03-29,56807,STARLINK-6073,70,96.11,70,-0.129997,0
2026-03-29,63927,STARLINK-33956,70,96.24,70,0.129997,0
2026-03-29,63927,STARLINK-33956,70,96.11,70,-0.129997,0
2026-03-29,64295,STARLINK-34424,70,96.24,70,0.129997,0
2026-03-29,63949,STARLINK-33993,70,95.98,70,-0.129997,0
2026-03-29,63949,STARLINK-33993,70,96.11,70,0.129997,0
2026-03-29,66838,STARLINK-35886,70,96.14,70,0.129997,0
2026-03-29,67211,STARLINK-36280,70,96.24,70,0.129997,0
2026-03-29,56795,STARLINK-6061,70,96.11,70,0.129997,0
2026-03-29,64420,STARLINK-34503,70,96.11,70,0.120003,0
2026-03-29,55282,STARLINK-5330,70,96.11,70,0.120003,0
2026-03-29,56459,STARLINK-6048,70,95.99,70,-0.120003,0
